#nT = 49 nRho= 80
#logT [K],logRho [g/cc],logP [barye],logE [erg/g],logS [erg/g/K]
1.61000000,-4.05000000,5.12360422,9.44796370,8.58469694
1.66000000,-8.00000000,1.21456387,9.52804257,8.85978649
1.66000000,-7.95000000,1.26456364,9.52804257,8.85731342
1.66000000,-7.90000000,1.31456328,9.52804257,8.85482837
1.66000000,-7.85000000,1.36456297,9.52804257,8.85232461
1.66000000,-7.80000000,1.41456290,9.52804257,8.84979537
1.66000000,-7.75000000,1.46456313,9.52804257,8.84723702
1.66000000,-7.70000000,1.51456350,9.52804257,8.84465634
1.66000000,-7.65000000,1.56456380,9.52804257,8.84206176
1.66000000,-7.60000000,1.61456387,9.52804257,8.83946133
1.66000000,-7.55000000,1.66456368,9.52804257,8.83685392
1.66000000,-7.50000000,1.71456335,9.52804257,8.83423570
1.66000000,-7.45000000,1.76456303,9.52804257,8.83160426
1.66000000,-7.40000000,1.81456286,9.52804257,8.82895746
1.66000000,-7.35000000,1.86456278,9.52804257,8.82629708
1.66000000,-7.30000000,1.91456277,9.52804257,8.82362234
1.66000000,-7.25000000,1.96456282,9.52804257,8.82093099
1.66000000,-7.20000000,2.01456294,9.52804257,8.81822099
1.66000000,-7.15000000,2.06456321,9.52804257,8.81549339
1.66000000,-7.10000000,2.11456355,9.52804257,8.81274795
1.66000000,-7.05000000,2.16456382,9.52804257,8.80998341
1.66000000,-7.00000000,2.21456387,9.52804257,8.80719854
1.66000000,-6.95000000,2.26456364,9.52804257,8.80439257
1.66000000,-6.90000000,2.31456328,9.52804257,8.80156640
1.66000000,-6.85000000,2.36456297,9.52804257,8.79872124
1.66000000,-6.80000000,2.41456290,9.52804257,8.79585812
1.66000000,-6.75000000,2.46456313,9.52804257,8.79297584
1.66000000,-6.70000000,2.51456350,9.52804257,8.79007446
1.66000000,-6.65000000,2.56456380,9.52804257,8.78715488
1.66000000,-6.60000000,2.61456387,9.52804257,8.78421816
1.66000000,-6.55000000,2.66456368,9.52804257,8.78126686
1.66000000,-6.50000000,2.71456335,9.52804257,8.77829745
1.66000000,-6.45000000,2.76456303,9.52804257,8.77530466
1.66000000,-6.40000000,2.81456286,9.52804257,8.77228312
1.66000000,-6.35000000,2.86456278,9.52804257,8.76922930
1.66000000,-6.30000000,2.91456277,9.52804257,8.76614893
1.66000000,-6.25000000,2.96456282,9.52804257,8.76304944
1.66000000,-6.20000000,3.01456294,9.52804257,8.75993812
1.66000000,-6.15000000,3.06456321,9.52804257,8.75681627
1.66000000,-6.10000000,3.11456355,9.52804257,8.75367800
1.66000000,-6.05000000,3.16456382,9.52804257,8.75051710
1.66000000,-6.00000000,3.21456387,9.52804257,8.74732781
1.66000000,-5.95000000,3.26456364,9.52804257,8.74411254
1.66000000,-5.90000000,3.31456328,9.52804257,8.74087158
1.66000000,-5.85000000,3.36456297,9.52804257,8.73760292
1.66000000,-5.80000000,3.41456290,9.52804257,8.73430419
1.66000000,-5.75000000,3.46456313,9.52804257,8.73097034
1.66000000,-5.70000000,3.51456350,9.52804257,8.72760664
1.66000000,-5.65000000,3.56456380,9.52804257,8.72422135
1.66000000,-5.60000000,3.61456387,9.52804257,8.72082316
1.66000000,-5.55000000,3.66456364,9.52804257,8.71742040
1.66000000,-5.50000000,3.71456328,9.52804257,8.71399948
1.66000000,-5.45000000,3.76456297,9.52804257,8.71054192
1.66000000,-5.40000000,3.81456290,9.52804257,8.70702914
1.66000000,-5.35000000,3.86456310,9.52804257,8.70345237
1.66000000,-5.30000000,3.91456343,9.52804257,8.69982885
1.66000000,-5.25000000,3.96456374,9.52804257,8.69617963
1.66000000,-5.20000000,4.01456392,9.52804257,8.69252502
1.66000000,-5.15000000,4.06456399,9.52804257,8.68886536
1.66000000,-5.10000000,4.11456401,9.52804257,8.68518801
1.66000000,-5.05000000,4.16456396,9.52804257,8.68148178
1.66000000,-5.00000000,4.21456371,9.52804257,8.67773619
1.66000000,-4.95000000,4.26456174,9.52804257,8.67395393
1.66000000,-4.90000000,4.31455960,9.52804257,8.67013743
1.66000000,-4.85000000,4.36455986,9.52804257,8.66628613
1.66000000,-4.80000000,4.41456442,9.52804183,8.66239944
1.66000000,-4.75000000,4.46456695,9.52803057,8.65847692
1.66000000,-4.70000000,4.51457244,9.52801282,8.65451809
1.66000000,-4.65000000,4.56459032,9.52799774,8.65052246
1.66000000,-4.60000000,4.61462612,9.52799381,8.64648965
1.66000000,-4.55000000,4.66463945,9.52799572,8.64242081
1.66000000,-4.50000000,4.71466614,9.52799842,8.63831376
1.66000000,-4.45000000,4.76476968,9.52800000,8.63416506
1.66000000,-4.40000000,4.81499928,9.52799713,8.62997190
1.66000000,-4.35000000,4.86521613,9.52796812,8.62574207
1.66000000,-4.30000000,4.91552812,9.52791105,8.62146800
1.66000000,-4.25000000,4.96614294,9.52783208,8.61713553
1.66000000,-4.20000000,5.01722496,9.52773181,8.61273291
1.66000000,-4.15000000,5.06838996,9.52754837,8.60828614
1.66000000,-4.10000000,5.11995983,9.52726745,8.60377106
1.66000000,-4.05000000,5.17254495,9.52689190,8.59914156
1.71000000,-8.00000000,1.26456389,9.60389591,8.86751082
1.71000000,-7.95000000,1.31456389,9.60389591,8.86507516
1.71000000,-7.90000000,1.36456389,9.60389591,8.86262427
1.71000000,-7.85000000,1.41456389,9.60389591,8.86015547
1.71000000,-7.80000000,1.46456389,9.60389591,8.85766707
1.71000000,-7.75000000,1.51456389,9.60389591,8.85516186
1.71000000,-7.70000000,1.56456389,9.60389591,8.85264343
1.71000000,-7.65000000,1.61456389,9.60389591,8.85011519
1.71000000,-7.60000000,1.66456389,9.60389591,8.84757671
1.71000000,-7.55000000,1.71456389,9.60389591,8.84502617
1.71000000,-7.50000000,1.76456389,9.60389591,8.84246230
1.71000000,-7.45000000,1.81456389,9.60389591,8.83988402
1.71000000,-7.40000000,1.86456389,9.60389591,8.83729314
1.71000000,-7.35000000,1.91456389,9.60389591,8.83468822
1.71000000,-7.30000000,1.96456389,9.60389591,8.83206643
1.71000000,-7.25000000,2.01456389,9.60389591,8.82942501
1.71000000,-7.20000000,2.06456389,9.60389591,8.82676326
1.71000000,-7.15000000,2.11456389,9.60389591,8.82408302
1.71000000,-7.10000000,2.16456389,9.60389591,8.82138618
1.71000000,-7.05000000,2.21456389,9.60389591,8.81867460
1.71000000,-7.00000000,2.26456389,9.60389591,8.81594820
1.71000000,-6.95000000,2.31456389,9.60389591,8.81320560
1.71000000,-6.90000000,2.36456389,9.60389591,8.81044552
1.71000000,-6.85000000,2.41456389,9.60389591,8.80766678
1.71000000,-6.80000000,2.46456389,9.60389591,8.80486984
1.71000000,-6.75000000,2.51456389,9.60389591,8.80205450
1.71000000,-6.70000000,2.56456389,9.60389591,8.79922006
1.71000000,-6.65000000,2.61456389,9.60389591,8.79636596
1.71000000,-6.60000000,2.66456389,9.60389591,8.79349326
1.71000000,-6.55000000,2.71456389,9.60389591,8.79060075
1.71000000,-6.50000000,2.76456389,9.60389591,8.78768635
1.71000000,-6.45000000,2.81456389,9.60389591,8.78474786
1.71000000,-6.40000000,2.86456389,9.60389591,8.78178291
1.71000000,-6.35000000,2.91456389,9.60389591,8.77879438
1.71000000,-6.30000000,2.96456389,9.60389591,8.77578640
1.71000000,-6.25000000,3.01456389,9.60389591,8.77276291
1.71000000,-6.20000000,3.06456389,9.60389591,8.76972335
1.71000000,-6.15000000,3.11456389,9.60389591,8.76666550
1.71000000,-6.10000000,3.16456389,9.60389591,8.76358773
1.71000000,-6.05000000,3.21456389,9.60389591,8.76048867
1.71000000,-6.00000000,3.26456389,9.60389591,8.75737056
1.71000000,-5.95000000,3.31456389,9.60389591,8.75423141
1.71000000,-5.90000000,3.36456389,9.60389591,8.75106747
1.71000000,-5.85000000,3.41456389,9.60389591,8.74787485
1.71000000,-5.80000000,3.46456389,9.60389591,8.74465002
1.71000000,-5.75000000,3.51456389,9.60389591,8.74139775
1.71000000,-5.70000000,3.56456389,9.60389591,8.73812466
1.71000000,-5.65000000,3.61456389,9.60389591,8.73483757
1.71000000,-5.60000000,3.66456389,9.60389591,8.73154180
1.71000000,-5.55000000,3.71456389,9.60389591,8.72822779
1.71000000,-5.50000000,3.76456389,9.60389591,8.72488290
1.71000000,-5.45000000,3.81456389,9.60389591,8.72149444
1.71000000,-5.40000000,3.86456389,9.60389591,8.71805611
1.71000000,-5.35000000,3.91456389,9.60389591,8.71457998
1.71000000,-5.30000000,3.96456389,9.60389591,8.71108086
1.71000000,-5.25000000,4.01456389,9.60389591,8.70757336
1.71000000,-5.20000000,4.06456389,9.60389591,8.70406083
1.71000000,-5.15000000,4.11456389,9.60389591,8.70053107
1.71000000,-5.10000000,4.16456389,9.60389591,8.69697089
1.71000000,-5.05000000,4.21456386,9.60389591,8.69336772
1.71000000,-5.00000000,4.26456351,9.60389591,8.68972322
1.71000000,-4.95000000,4.31456314,9.60389591,8.68604182
1.71000000,-4.90000000,4.36456325,9.60389591,8.68232541
1.71000000,-4.85000000,4.41456391,9.60389597,8.67857553
1.71000000,-4.80000000,4.46456062,9.60389685,8.67478864
1.71000000,-4.75000000,4.51455767,9.60389823,8.67096601
1.71000000,-4.70000000,4.56456242,9.60389941,8.66711111
1.71000000,-4.65000000,4.61457980,9.60389974,8.66322745
1.71000000,-4.60000000,4.66458522,9.60389986,8.65931674
1.71000000,-4.55000000,4.71459952,9.60390005,8.65537431
1.71000000,-4.50000000,4.76466053,9.60390021,8.65139434
1.71000000,-4.45000000,4.81479680,9.60389959,8.64737153
1.71000000,-4.40000000,4.86491750,9.60388815,8.64331035
1.71000000,-4.35000000,4.91509450,9.60386432,8.63920815
1.71000000,-4.30000000,4.96546419,9.60383033,8.63505801
1.71000000,-4.25000000,5.01613195,9.60378484,8.63085461
1.71000000,-4.20000000,5.06681103,9.60368239,8.62661576
1.71000000,-4.15000000,5.11773685,9.60351516,8.62232416
1.71000000,-4.10000000,5.16935476,9.60329029,8.61794786
1.71000000,-4.05000000,5.22203428,9.60299559,8.61346094
1.76000000,-8.00000000,1.31456389,9.67512030,8.87524096
1.76000000,-7.95000000,1.36456389,9.67512030,8.87283155
1.76000000,-7.90000000,1.41456389,9.67512030,8.87041688
1.76000000,-7.85000000,1.46456389,9.67512030,8.86799967
1.76000000,-7.80000000,1.51456389,9.67512030,8.86557467
1.76000000,-7.75000000,1.56456389,9.67512030,8.86313519
1.76000000,-7.70000000,1.61456389,9.67512030,8.86067453
1.76000000,-7.65000000,1.66456389,9.67512030,8.85819016
1.76000000,-7.60000000,1.71456389,9.67512030,8.85568799
1.76000000,-7.55000000,1.76456389,9.67512030,8.85317496
1.76000000,-7.50000000,1.81456389,9.67512030,8.85065807
1.76000000,-7.45000000,1.86456389,9.67512030,8.84814128
1.76000000,-7.40000000,1.91456389,9.67512030,8.84561651
1.76000000,-7.35000000,1.96456389,9.67512030,8.84307363
1.76000000,-7.30000000,2.01456389,9.67512030,8.84050277
1.76000000,-7.25000000,2.06456389,9.67512030,8.83790236
1.76000000,-7.20000000,2.11456389,9.67512030,8.83527898
1.76000000,-7.15000000,2.16456389,9.67512030,8.83263922
1.76000000,-7.10000000,2.21456389,9.67512030,8.82998921
1.76000000,-7.05000000,2.26456389,9.67512030,8.82732651
1.76000000,-7.00000000,2.31456389,9.67512030,8.82464957
1.76000000,-6.95000000,2.36456389,9.67512030,8.82195892
1.76000000,-6.90000000,2.41456389,9.67512030,8.81925558
1.76000000,-6.85000000,2.46456389,9.67512030,8.81654489
1.76000000,-6.80000000,2.51456389,9.67512030,8.81382084
1.76000000,-6.75000000,2.56456389,9.67512030,8.81107382
1.76000000,-6.70000000,2.61456389,9.67512030,8.80829396
1.76000000,-6.65000000,2.66456389,9.67512030,8.80547366
1.76000000,-6.60000000,2.71456389,9.67512030,8.80262505
1.76000000,-6.55000000,2.76456389,9.67512030,8.79976420
1.76000000,-6.50000000,2.81456389,9.67512030,8.79690721
1.76000000,-6.45000000,2.86456389,9.67512030,8.79406069
1.76000000,-6.40000000,2.91456389,9.67512030,8.79120863
1.76000000,-6.35000000,2.96456389,9.67512030,8.78833202
1.76000000,-6.30000000,3.01456389,9.67512030,8.78541214
1.76000000,-6.25000000,3.06456389,9.67512030,8.78244490
1.76000000,-6.20000000,3.11456389,9.67512030,8.77944385
1.76000000,-6.15000000,3.16456389,9.67512030,8.77642335
1.76000000,-6.10000000,3.21456389,9.67512030,8.77339728
1.76000000,-6.05000000,3.26456389,9.67512030,8.77036620
1.76000000,-6.00000000,3.31456389,9.67512030,8.76732109
1.76000000,-5.95000000,3.36456389,9.67512030,8.76425373
1.76000000,-5.90000000,3.41456389,9.67512030,8.76115599
1.76000000,-5.85000000,3.46456389,9.67512030,8.75802577
1.76000000,-5.80000000,3.51456389,9.67512030,8.75486906
1.76000000,-5.75000000,3.56456389,9.67512030,8.75169240
1.76000000,-5.70000000,3.61456389,9.67512030,8.74850247
1.76000000,-5.65000000,3.66456389,9.67512030,8.74530383
1.76000000,-5.60000000,3.71456389,9.67512030,8.74208775
1.76000000,-5.55000000,3.76456389,9.67512030,8.73884299
1.76000000,-5.50000000,3.81456389,9.67512030,8.73555822
1.76000000,-5.45000000,3.86456389,9.67512030,8.73222795
1.76000000,-5.40000000,3.91456389,9.67512030,8.72886279
1.76000000,-5.35000000,3.96456389,9.67512030,8.72547577
1.76000000,-5.30000000,4.01456389,9.67512030,8.72207962
1.76000000,-5.25000000,4.06456389,9.67512030,8.71867636
1.76000000,-5.20000000,4.11456389,9.67512030,8.71525619
1.76000000,-5.15000000,4.16456389,9.67512030,8.71180896
1.76000000,-5.10000000,4.21456388,9.67512030,8.70832511
1.76000000,-5.05000000,4.26456384,9.67512030,8.70480656
1.76000000,-5.00000000,4.31456380,9.67512030,8.70125600
1.76000000,-4.95000000,4.36456381,9.67512030,8.69767375
1.76000000,-4.90000000,4.41456365,9.67512033,8.69405995
1.76000000,-4.85000000,4.46456004,9.67512076,8.69041255
1.76000000,-4.80000000,4.51455628,9.67512145,8.68673235
1.76000000,-4.75000000,4.56455784,9.67512203,8.68302130
1.76000000,-4.70000000,4.61456886,9.67512219,8.67928146
1.76000000,-4.65000000,4.66457654,9.67512224,8.67551504
1.76000000,-4.60000000,4.71459080,9.67512233,8.67171775
1.76000000,-4.55000000,4.76463056,9.67512241,8.66788373
1.76000000,-4.50000000,4.81470861,9.67512165,8.66400723
1.76000000,-4.45000000,4.86476323,9.67510847,8.66008760
1.76000000,-4.40000000,4.91484685,9.67508211,8.65612741
1.76000000,-4.35000000,4.96505475,9.67504656,8.65212862
1.76000000,-4.30000000,5.01546082,9.67500450,8.64809422
1.76000000,-4.25000000,5.06586126,9.67493931,8.64403789
1.76000000,-4.20000000,5.11641768,9.67484401,8.63994282
1.76000000,-4.15000000,5.16743918,9.67471708,8.63578186
1.76000000,-4.10000000,5.21917917,9.67454893,8.63153140
1.76000000,-4.05000000,5.27118094,9.67426331,8.62722531
1.81000000,-8.00000000,1.36456389,9.74002756,8.88254297
1.81000000,-7.95000000,1.41456389,9.74002756,8.88018528
1.81000000,-7.90000000,1.46456389,9.74002756,8.87781401
1.81000000,-7.85000000,1.51456389,9.74002756,8.87542961
1.81000000,-7.80000000,1.56456389,9.74002756,8.87303130
1.81000000,-7.75000000,1.61456389,9.74002756,8.87061808
1.81000000,-7.70000000,1.66456389,9.74002756,8.86818718
1.81000000,-7.65000000,1.71456389,9.74002756,8.86574154
1.81000000,-7.60000000,1.76456389,9.74002756,8.86328580
1.81000000,-7.55000000,1.81456389,9.74002756,8.86082482
1.81000000,-7.50000000,1.86456389,9.74002756,8.85836279
1.81000000,-7.45000000,1.91456389,9.74002756,8.85589269
1.81000000,-7.40000000,1.96456389,9.74002756,8.85340510
1.81000000,-7.35000000,2.01456389,9.74002756,8.85089080
1.81000000,-7.30000000,2.06456389,9.74002756,8.84834812
1.81000000,-7.25000000,2.11456389,9.74002756,8.84578341
1.81000000,-7.20000000,2.16456389,9.74002756,8.84320316
1.81000000,-7.15000000,2.21456389,9.74002756,8.84061343
1.81000000,-7.10000000,2.26456389,9.74002756,8.83801172
1.81000000,-7.05000000,2.31456389,9.74002756,8.83539660
1.81000000,-7.00000000,2.36456389,9.74002756,8.83276882
1.81000000,-6.95000000,2.41456389,9.74002756,8.83012954
1.81000000,-6.90000000,2.46456389,9.74002756,8.82748366
1.81000000,-6.85000000,2.51456389,9.74002756,8.82482554
1.81000000,-6.80000000,2.56456389,9.74002756,8.82214629
1.81000000,-6.75000000,2.61456389,9.74002756,8.81943680
1.81000000,-6.70000000,2.66456389,9.74002756,8.81669070
1.81000000,-6.65000000,2.71456389,9.74002756,8.81391861
1.81000000,-6.60000000,2.76456389,9.74002756,8.81113440
1.81000000,-6.55000000,2.81456389,9.74002756,8.80835192
1.81000000,-6.50000000,2.86456389,9.74002756,8.80557625
1.81000000,-6.45000000,2.91456389,9.74002756,8.80279422
1.81000000,-6.40000000,2.96456389,9.74002756,8.79999046
1.81000000,-6.35000000,3.01456389,9.74002756,8.79715001
1.81000000,-6.30000000,3.06456389,9.74002756,8.79427111
1.81000000,-6.25000000,3.11456389,9.74002756,8.79136322
1.81000000,-6.20000000,3.16456389,9.74002756,8.78843539
1.81000000,-6.15000000,3.21456389,9.74002756,8.78549631
1.81000000,-6.10000000,3.26456389,9.74002756,8.78254561
1.81000000,-6.05000000,3.31456389,9.74002756,8.77957817
1.81000000,-6.00000000,3.36456389,9.74002756,8.77658976
1.81000000,-5.95000000,3.41456389,9.74002756,8.77357620
1.81000000,-5.90000000,3.46456389,9.74002756,8.77053598
1.81000000,-5.85000000,3.51456389,9.74002756,8.76747236
1.81000000,-5.80000000,3.56456389,9.74002756,8.76438913
1.81000000,-5.75000000,3.61456389,9.74002756,8.76129040
1.81000000,-5.70000000,3.66456389,9.74002756,8.75818138
1.81000000,-5.65000000,3.71456389,9.74002756,8.75505419
1.81000000,-5.60000000,3.76456389,9.74002756,8.75189778
1.81000000,-5.55000000,3.81456389,9.74002756,8.74870088
1.81000000,-5.50000000,3.86456389,9.74002756,8.74545678
1.81000000,-5.45000000,3.91456389,9.74002756,8.74217721
1.81000000,-5.40000000,3.96456389,9.74002756,8.73887709
1.81000000,-5.35000000,4.01456389,9.74002756,8.73557084
1.81000000,-5.30000000,4.06456389,9.74002756,8.73225815
1.81000000,-5.25000000,4.11456389,9.74002756,8.72893055
1.81000000,-5.20000000,4.16456389,9.74002756,8.72558097
1.81000000,-5.15000000,4.21456389,9.74002756,8.72220292
1.81000000,-5.10000000,4.26456393,9.74002756,8.71879995
1.81000000,-5.05000000,4.31456397,9.74002756,8.71537176
1.81000000,-5.00000000,4.36456396,9.74002756,8.71191492
1.81000000,-4.95000000,4.41456368,9.74002756,8.70842617
1.81000000,-4.90000000,4.46456128,9.74002756,8.70490558
1.81000000,-4.85000000,4.51455869,9.74002756,8.70135399
1.81000000,-4.80000000,4.56455901,9.74002756,8.69777169
1.81000000,-4.75000000,4.61456459,9.74002756,8.69415895
1.81000000,-4.70000000,4.66456763,9.74002756,8.69051563
1.81000000,-4.65000000,4.71457429,9.74002756,8.68684069
1.81000000,-4.60000000,4.76459612,9.74002756,8.68313296
1.81000000,-4.55000000,4.81464096,9.74002708,8.67939131
1.81000000,-4.50000000,4.86467135,9.74001893,8.67561574
1.81000000,-4.45000000,4.91471896,9.74000278,8.67180579
1.81000000,-4.40000000,4.96484140,9.73998133,8.66796053
1.81000000,-4.35000000,5.01508166,9.73995668,8.66407974
1.81000000,-4.30000000,5.06529786,9.73992128,8.66017219
1.81000000,-4.25000000,5.11560490,9.73987060,8.65622818
1.81000000,-4.20000000,5.16621855,9.73980254,8.65223124
1.81000000,-4.15000000,5.21731383,9.73971084,8.64816694
1.81000000,-4.10000000,5.26852992,9.73954692,8.64405746
1.81000000,-4.05000000,5.32015825,9.73929994,8.63988465
1.86000000,-8.00000000,1.41456389,9.79914366,8.88933498
1.86000000,-7.95000000,1.46456389,9.79914366,8.88699617
1.86000000,-7.90000000,1.51456389,9.79914366,8.88463342
1.86000000,-7.85000000,1.56456389,9.79914366,8.88225889
1.86000000,-7.80000000,1.61456389,9.79914366,8.87988418
1.86000000,-7.75000000,1.66456389,9.79914366,8.87750798
1.86000000,-7.70000000,1.71456389,9.79914366,8.87512461
1.86000000,-7.65000000,1.76456389,9.79914366,8.87273030
1.86000000,-7.60000000,1.81456389,9.79914366,8.87032166
1.86000000,-7.55000000,1.86456389,9.79914366,8.86790177
1.86000000,-7.50000000,1.91456389,9.79914366,8.86546940
1.86000000,-7.45000000,1.96456389,9.79914366,8.86302093
1.86000000,-7.40000000,2.01456389,9.79914366,8.86055270
1.86000000,-7.35000000,2.06456389,9.79914366,8.85806290
1.86000000,-7.30000000,2.11456389,9.79914366,8.85555495
1.86000000,-7.25000000,2.16456389,9.79914366,8.85303304
1.86000000,-7.20000000,2.21456389,9.79914366,8.85050116
1.86000000,-7.15000000,2.26456389,9.79914366,8.84795823
1.86000000,-7.10000000,2.31456389,9.79914366,8.84540272
1.86000000,-7.05000000,2.36456389,9.79914366,8.84283404
1.86000000,-7.00000000,2.41456389,9.79914366,8.84025179
1.86000000,-6.95000000,2.46456389,9.79914366,8.83765765
1.86000000,-6.90000000,2.51456389,9.79914366,8.83504995
1.86000000,-6.85000000,2.56456389,9.79914366,8.83242585
1.86000000,-6.80000000,2.61456389,9.79914366,8.82978261
1.86000000,-6.75000000,2.66456389,9.79914366,8.82712052
1.86000000,-6.70000000,2.71456389,9.79914366,8.82444045
1.86000000,-6.65000000,2.76456389,9.79914366,8.82174277
1.86000000,-6.60000000,2.81456389,9.79914366,8.81902760
1.86000000,-6.55000000,2.86456389,9.79914366,8.81629248
1.86000000,-6.50000000,2.91456389,9.79914366,8.81353926
1.86000000,-6.45000000,2.96456389,9.79914366,8.81077138
1.86000000,-6.40000000,3.01456389,9.79914366,8.80799241
1.86000000,-6.35000000,3.06456389,9.79914366,8.80520560
1.86000000,-6.30000000,3.11456389,9.79914366,8.80240544
1.86000000,-6.25000000,3.16456389,9.79914366,8.79958451
1.86000000,-6.20000000,3.21456389,9.79914366,8.79673556
1.86000000,-6.15000000,3.26456389,9.79914366,8.79385755
1.86000000,-6.10000000,3.31456389,9.79914366,8.79095499
1.86000000,-6.05000000,3.36456389,9.79914366,8.78803227
1.86000000,-6.00000000,3.41456389,9.79914366,8.78509352
1.86000000,-5.95000000,3.46456389,9.79914366,8.78213738
1.86000000,-5.90000000,3.51456389,9.79914366,8.77916228
1.86000000,-5.85000000,3.56456389,9.79914366,8.77616780
1.86000000,-5.80000000,3.61456389,9.79914366,8.77315414
1.86000000,-5.75000000,3.66456389,9.79914366,8.77012755
1.86000000,-5.70000000,3.71456389,9.79914366,8.76708137
1.86000000,-5.65000000,3.76456389,9.79914366,8.76400467
1.86000000,-5.60000000,3.81456389,9.79914366,8.76088619
1.86000000,-5.55000000,3.86456389,9.79914366,8.75771728
1.86000000,-5.50000000,3.91456389,9.79914366,8.75451137
1.86000000,-5.45000000,3.96456389,9.79914366,8.75128636
1.86000000,-5.40000000,4.01456389,9.79914366,8.74805930
1.86000000,-5.35000000,4.06456389,9.79914366,8.74482800
1.86000000,-5.30000000,4.11456389,9.79914366,8.74158433
1.86000000,-5.25000000,4.16456389,9.79914366,8.73832308
1.86000000,-5.20000000,4.21456389,9.79914366,8.73503968
1.86000000,-5.15000000,4.26456389,9.79914366,8.73173914
1.86000000,-5.10000000,4.31456389,9.79914366,8.72841884
1.86000000,-5.05000000,4.36456389,9.79914366,8.72507232
1.86000000,-5.00000000,4.41456385,9.79914366,8.72169349
1.86000000,-4.95000000,4.46456332,9.79914366,8.71828396
1.86000000,-4.90000000,4.51456277,9.79914366,8.71484479
1.86000000,-4.85000000,4.56456293,9.79914366,8.71137517
1.86000000,-4.80000000,4.61456389,9.79914366,8.70787406
1.86000000,-4.75000000,4.66455839,9.79914366,8.70433821
1.86000000,-4.70000000,4.71455338,9.79914366,8.70077030
1.86000000,-4.65000000,4.76456071,9.79914366,8.69717485
1.86000000,-4.60000000,4.81459014,9.79914366,8.69355652
1.86000000,-4.55000000,4.86462289,9.79914366,8.68991879
1.86000000,-4.50000000,4.91467138,9.79914366,8.68625483
1.86000000,-4.45000000,4.96476153,9.79914366,8.68255561
1.86000000,-4.40000000,5.01490950,9.79914288,8.67881271
1.86000000,-4.35000000,5.06501709,9.79912975,8.67502991
1.86000000,-4.30000000,5.11517099,9.79910268,8.67120706
1.86000000,-4.25000000,5.16552573,9.79906459,8.66734007
1.86000000,-4.20000000,5.21620657,9.79901513,8.66342585
1.86000000,-4.15000000,5.26694397,9.79891405,8.65947790
1.86000000,-4.10000000,5.31794473,9.79875388,8.65548213
1.86000000,-4.05000000,5.36961449,9.79854041,8.65141321
1.91000000,-8.00000000,1.46456389,9.85282762,8.89522630
1.91000000,-7.95000000,1.51456389,9.85282762,8.89292618
1.91000000,-7.90000000,1.56456389,9.85282762,8.89061754
1.91000000,-7.85000000,1.61456389,9.85282762,8.88830500
1.91000000,-7.80000000,1.66456389,9.85282762,8.88599140
1.91000000,-7.75000000,1.71456389,9.85282762,8.88367118
1.91000000,-7.70000000,1.76456389,9.85282762,8.88133724
1.91000000,-7.65000000,1.81456389,9.85282762,8.87898291
1.91000000,-7.60000000,1.86456389,9.85282762,8.87661027
1.91000000,-7.55000000,1.91456389,9.85282762,8.87422080
1.91000000,-7.50000000,1.96456389,9.85282762,8.87181386
1.91000000,-7.45000000,2.01456389,9.85282762,8.86938847
1.91000000,-7.40000000,2.06456389,9.85282762,8.86694007
1.91000000,-7.35000000,2.11456389,9.85282762,8.86447314
1.91000000,-7.30000000,2.16456389,9.85282762,8.86199499
1.91000000,-7.25000000,2.21456389,9.85282762,8.85951265
1.91000000,-7.20000000,2.26456389,9.85282762,8.85702560
1.91000000,-7.15000000,2.31456389,9.85282762,8.85453007
1.91000000,-7.10000000,2.36456389,9.85282762,8.85202327
1.91000000,-7.05000000,2.41456389,9.85282762,8.84950276
1.91000000,-7.00000000,2.46456389,9.85282762,8.84697169
1.91000000,-6.95000000,2.51456389,9.85282762,8.84442821
1.91000000,-6.90000000,2.56456389,9.85282762,8.84186809
1.91000000,-6.85000000,2.61456389,9.85282762,8.83928730
1.91000000,-6.80000000,2.66456389,9.85282762,8.83668651
1.91000000,-6.75000000,2.71456389,9.85282762,8.83406695
1.91000000,-6.70000000,2.76456389,9.85282762,8.83142890
1.91000000,-6.65000000,2.81456389,9.85282762,8.82877235
1.91000000,-6.60000000,2.86456389,9.85282762,8.82609373
1.91000000,-6.55000000,2.91456389,9.85282762,8.82339599
1.91000000,-6.50000000,2.96456389,9.85282762,8.82068433
1.91000000,-6.45000000,3.01456389,9.85282762,8.81796413
1.91000000,-6.40000000,3.06456389,9.85282762,8.81523900
1.91000000,-6.35000000,3.11456389,9.85282762,8.81250208
1.91000000,-6.30000000,3.16456389,9.85282762,8.80974448
1.91000000,-6.25000000,3.21456389,9.85282762,8.80695743
1.91000000,-6.20000000,3.26456389,9.85282762,8.80413839
1.91000000,-6.15000000,3.31456389,9.85282762,8.80129417
1.91000000,-6.10000000,3.36456389,9.85282762,8.79843229
1.91000000,-6.05000000,3.41456389,9.85282762,8.79555993
1.91000000,-6.00000000,3.46456389,9.85282762,8.79267639
1.91000000,-5.95000000,3.51456389,9.85282762,8.78977781
1.91000000,-5.90000000,3.56456389,9.85282762,8.78686135
1.91000000,-5.85000000,3.61456389,9.85282762,8.78392480
1.91000000,-5.80000000,3.66456389,9.85282762,8.78097387
1.91000000,-5.75000000,3.71456389,9.85282762,8.77800386
1.91000000,-5.70000000,3.76456389,9.85282762,8.77500598
1.91000000,-5.65000000,3.81456389,9.85282762,8.77197112
