#nT = 49 nRho= 80
#logT [K],logRho [g/cc],logP [barye],logE [erg/g],logS [erg/g/K]
1.11000000,-6.95000000,1.71573076,8.84033220,8.73519702
1.11000000,-6.90000000,1.76573076,8.84033220,8.73189456
1.11000000,-6.85000000,1.81573076,8.84033220,8.72855771
1.11000000,-6.80000000,1.86573076,8.84033220,8.72518557
1.11000000,-6.75000000,1.91573076,8.84033220,8.72178201
1.11000000,-6.70000000,1.96573076,8.84033220,8.71835077
1.11000000,-6.65000000,2.01573076,8.84033220,8.71489524
1.11000000,-6.60000000,2.06573076,8.84033220,8.71141287
1.11000000,-6.55000000,2.11573076,8.84033220,8.70790330
1.11000000,-6.50000000,2.16573076,8.84033220,8.70436780
1.11000000,-6.45000000,2.21573076,8.84033220,8.70080774
1.11000000,-6.40000000,2.26573076,8.84033220,8.69722431
1.11000000,-6.35000000,2.31573076,8.84033220,8.69361469
1.11000000,-6.30000000,2.36573076,8.84033220,8.68997529
1.11000000,-6.25000000,2.41573076,8.84033220,8.68630278
1.11000000,-6.20000000,2.46573076,8.84033220,8.68259851
1.11000000,-6.15000000,2.51573076,8.84033220,8.67886213
1.11000000,-6.10000000,2.56573076,8.84033220,8.67509199
1.11000000,-6.05000000,2.61573076,8.84033220,8.67128656
1.11000000,-6.00000000,2.66573076,8.84033220,8.66744593
1.11000000,-5.95000000,2.71573076,8.84033220,8.66356969
1.11000000,-5.90000000,2.76573076,8.84033220,8.65965701
1.11000000,-5.85000000,2.81573076,8.84033220,8.65570687
1.11000000,-5.80000000,2.86573076,8.84033220,8.65171691
1.11000000,-5.75000000,2.91573076,8.84033220,8.64768873
1.11000000,-5.70000000,2.96573076,8.84033220,8.64362505
1.11000000,-5.65000000,3.01573076,8.84033220,8.63952880
1.11000000,-5.60000000,3.06573076,8.84033220,8.63540306
1.11000000,-5.55000000,3.11573076,8.84033220,8.63124172
1.11000000,-5.50000000,3.16573076,8.84033220,8.62703667
1.11000000,-5.45000000,3.21573076,8.84033220,8.62277991
1.11000000,-5.40000000,3.26573076,8.84033220,8.61846913
1.11000000,-5.35000000,3.31573076,8.84033220,8.61410956
1.11000000,-5.30000000,3.36573076,8.84033220,8.60970692
1.11000000,-5.25000000,3.41573075,8.84033220,8.60526671
1.11000000,-5.20000000,3.46573061,8.84033220,8.60078849
1.11000000,-5.15000000,3.51573047,8.84033220,8.59626774
1.11000000,-5.10000000,3.56573052,8.84033220,8.59170022
1.11000000,-5.05000000,3.61573390,8.84033220,8.58708282
1.11000000,-5.00000000,3.66576943,8.84033220,8.58242422
1.11000000,-4.95000000,3.71580610,8.84033220,8.57771548
1.11000000,-4.90000000,3.76579505,8.84033220,8.57294174
1.11000000,-4.85000000,3.81568333,8.84033772,8.56808765
1.11000000,-4.80000000,3.86540914,8.84041135,8.56313894
1.11000000,-4.75000000,3.91506769,8.84052531,8.55811556
1.11000000,-4.70000000,3.96478834,8.84062176,8.55304383
1.11000000,-4.65000000,4.01468940,8.84064731,8.54794960
1.11000000,-4.60000000,4.06468305,8.84064112,8.54284141
1.11000000,-4.55000000,4.11478441,8.84062792,8.53769435
1.11000000,-4.50000000,4.16507936,8.84060860,8.53247915
1.11000000,-4.45000000,4.21562372,8.84057891,8.52716916
1.11000000,-4.40000000,4.26611877,8.84046883,8.52178892
1.11000000,-4.35000000,4.31683576,8.84026991,8.51632581
1.11000000,-4.30000000,4.36826515,8.83999814,8.51074474
1.11000000,-4.25000000,4.42081818,8.83964678,8.50501661
1.11000000,-4.20000000,4.47380904,8.83903128,8.49920477
